"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-04-05-ABM.nlogox"
"exp1_policy_grid"
"05/05/2026 00:18:33:888 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","response-strength","drift-speed","punishment-value","reporter-protection","[step]","true-misconduct-total","sanctioned-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"5","300","0.4","0.3","0.2","0.05","0.2","0.2","300","88217","11244","76973","0.8725415736195972","11244","8900","0.7058230597109644","1"
"7","300","0.4","0.3","0.2","0.05","0.2","0.2","300","87888","11095","76793","0.8737597851811396","11095","8922","0.6995586518283042","1"
"18","300","0.4","0.3","0.2","0.05","0.2","0.25","300","86314","12789","73525","0.8518316843154066","12789","9653","0.7070406831834349","1"
"1","300","0.4","0.3","0.2","0.05","0.2","0.2","300","88036","11155","76881","0.8732904720796038","11155","8939","0.7069483524908142","1"
"20","300","0.4","0.3","0.2","0.05","0.2","0.25","300","86318","12794","73524","0.851780625130332","12794","9638","0.7083467394008157","1"
"19","300","0.4","0.3","0.2","0.05","0.2","0.25","300","86743","12889","73854","0.8514116412851758","12889","9662","0.7131000353173466","1"
"16","300","0.4","0.3","0.2","0.05","0.2","0.25","300","86657","12896","73761","0.8511834012255213","12896","9677","0.7141903528453682","1"
"6","300","0.4","0.3","0.2","0.05","0.2","0.2","300","87883","11158","76725","0.8730357407007043","11158","8887","0.709386504777241","1"
"15","300","0.4","0.3","0.2","0.05","0.2","0.25","300","86791","12929","73862","0.851032941203581","12929","9695","0.7124232925375652","1"
"17","300","0.4","0.3","0.2","0.05","0.2","0.25","300","86603","12887","73716","0.8511945313672736","12887","9689","0.7139733677797534","1"
"8","300","0.4","0.3","0.2","0.05","0.2","0.2","300","87933","11101","76832","0.8737561552545688","11101","8895","0.6902218969139604","1"
"4","300","0.4","0.3","0.2","0.05","0.2","0.2","300","88064","11108","76956","0.8738644622093024","11108","8890","0.6923659884389406","1"
"21","300","0.4","0.3","0.2","0.05","0.2","0.3","300","73119","14081","59038","0.8074235150918366","14081","9913","0.7167980038513061","1"
"2","300","0.4","0.3","0.2","0.05","0.2","0.2","300","87912","11089","76823","0.8738624988624989","11089","8887","0.6923360857804233","1"
"24","300","0.4","0.3","0.2","0.05","0.2","0.3","300","73798","14194","59604","0.807664164340497","14194","9904","0.7196524163594235","1"
"10","300","0.4","0.3","0.2","0.05","0.2","0.2","300","87947","11103","76844","0.8737535106370883","11103","8940","0.7107259058979758","1"
"13","300","0.4","0.3","0.2","0.05","0.2","0.25","300","86345","12801","73544","0.8517459030632926","12801","9646","0.7120456236102375","1"
"3","300","0.4","0.3","0.2","0.05","0.2","0.2","300","87979","11116","76863","0.8736516668750497","11116","8867","0.6996424157331547","1"
"22","300","0.4","0.3","0.2","0.05","0.2","0.3","300","74351","14226","60125","0.8086643084827373","14226","9942","0.7201677638385751","1"
"11","300","0.4","0.3","0.2","0.05","0.2","0.25","300","86405","12792","73613","0.8519530119784735","12792","9614","0.7147064100700198","1"
"12","300","0.4","0.3","0.2","0.05","0.2","0.25","300","86816","12876","73940","0.8516863251013638","12876","9620","0.7136550089108437","1"
"23","300","0.4","0.3","0.2","0.05","0.2","0.3","300","72144","13946","58198","0.8066921712131293","13946","9797","0.725462717389323","0.998178590862276"
"14","300","0.4","0.3","0.2","0.05","0.2","0.25","300","86640","12971","73669","0.8502885503231764","12971","9705","0.7270233313069565","1"
"9","300","0.4","0.3","0.2","0.05","0.2","0.2","300","87960","11142","76818","0.8733287858117326","11142","8885","0.6864913000774474","1"
"31","300","0.4","0.3","0.2","0.05","0.2","0.35","300","29594","11055","18539","0.6264445495708589","11055","7225","0.563893394375176","0.3228649613703008"
"33","300","0.4","0.3","0.2","0.05","0.2","0.35","300","29406","11170","18236","0.6201455485275114","11170","7225","0.5677699729148596","0.32104724480072583"
"34","300","0.4","0.3","0.2","0.05","0.2","0.35","300","29279","11024","18255","0.623484408620513","11024","7193","0.5646214006913012","0.3225029107307908"
"25","300","0.4","0.3","0.2","0.05","0.2","0.3","300","73182","14158","59024","0.8065371266158345","14158","9907","0.7217913842924418","1"
"26","300","0.4","0.3","0.2","0.05","0.2","0.3","300","73751","14192","59559","0.8075687109327331","14192","9926","0.734637236200358","0.999980276044296"
"29","300","0.4","0.3","0.2","0.05","0.2","0.3","300","73131","14013","59118","0.808384953029495","14013","9863","0.7120880794206702","0.9993271305872844"
"32","300","0.4","0.3","0.2","0.05","0.2","0.35","300","29476","11136","18340","0.6222011127697109","11136","7253","0.5543899581106593","0.3238011654385342"
"30","300","0.4","0.3","0.2","0.05","0.2","0.3","300","72635","13996","58639","0.8073105252288841","13996","9871","0.7196942384914704","1"
"27","300","0.4","0.3","0.2","0.05","0.2","0.3","300","73334","14125","59209","0.8073881146535031","14125","9916","0.7149385220893607","0.9999423092658875"
"37","300","0.4","0.3","0.2","0.05","0.2","0.35","300","29512","11057","18455","0.6253388452155055","11057","7156","0.5527297504153275","0.3247053319497076"
"36","300","0.4","0.3","0.2","0.05","0.2","0.35","300","29708","10997","18711","0.6298303487276155","10997","7229","0.5530020951164356","0.3235814346822814"
"38","300","0.4","0.3","0.2","0.05","0.2","0.35","300","29538","11023","18515","0.6268196898909879","11023","7154","0.5474569065189595","0.3247310252042137"
"35","300","0.4","0.3","0.2","0.05","0.2","0.35","300","29725","11109","18616","0.6262741799831791","11109","7194","0.5560267850489959","0.3227019767262995"
"28","300","0.4","0.3","0.2","0.05","0.2","0.3","300","72565","14012","58553","0.8069041548956108","14012","9801","0.7362284800114637","1"
"39","300","0.4","0.3","0.2","0.05","0.2","0.35","300","29389","11004","18385","0.6255741944264861","11004","7133","0.549679771873555","0.3228442862450429"
"42","300","0.4","0.3","0.2","0.05","0.2","0.4","300","17589","9296","8293","0.47148786173176416","9296","5580","0.4867384170344675","0.18768318153728972"
"41","300","0.4","0.3","0.2","0.05","0.2","0.4","300","17531","9239","8292","0.4729907021847014","9239","5538","0.47782193057067635","0.187066049879097"
"44","300","0.4","0.3","0.2","0.05","0.2","0.4","300","17616","9322","8294","0.47082198001816533","9322","5588","0.47690303099030595","0.19058627249378463"
"45","300","0.4","0.3","0.2","0.05","0.2","0.4","300","17603","9286","8317","0.4724762824518548","9286","5589","0.4847759947705536","0.18806595850065813"
"43","300","0.4","0.3","0.2","0.05","0.2","0.4","300","17721","9349","8372","0.4724338355623272","9349","5601","0.4795233416795445","0.1863648946104248"
"46","300","0.4","0.3","0.2","0.05","0.2","0.4","300","17597","9349","8248","0.4687162584531454","9349","5649","0.4835709703719626","0.19012265385133037"
"49","300","0.4","0.3","0.2","0.05","0.2","0.4","300","17670","9261","8409","0.47589134125636673","9261","5582","0.4743985301451616","0.19202064116908596"
"54","300","0.4","0.3","0.2","0.05","0.2","0.45","300","11634","7588","4046","0.34777376654632974","7588","4206","0.4184490693530771","0.1264965137947282"
"51","300","0.4","0.3","0.2","0.05","0.2","0.45","300","11548","7636","3912","0.3387599584343609","7636","4152","0.41921843226309263","0.1183786217540481"
"53","300","0.4","0.3","0.2","0.05","0.2","0.45","300","11668","7585","4083","0.34993143640726776","7585","4165","0.415180969173624","0.12644236608925857"
"47","300","0.4","0.3","0.2","0.05","0.2","0.4","300","17617","9254","8363","0.4747119259805869","9254","5591","0.4849520798179402","0.18728871841335937"
"50","300","0.4","0.3","0.2","0.05","0.2","0.4","300","17757","9294","8463","0.4766007771583038","9294","5614","0.4796677042576985","0.1895059481736821"
