"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-04-05-ABM.nlogox"
"exp2a_sens_employees"
"05/05/2026 00:25:37:258 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","punishment-value","reporter-protection","response-strength","drift-speed","[step]","true-misconduct-total","sanctioned-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"3","50","0.4","0.3","0.5","0.3","0.2","0.05","300","6968","1768","5200","0.746268656716418","1768","1211","0.5020577759159923","0.4684776082214403"
"8","50","0.4","0.3","0.5","0.3","0.2","0.05","300","7104","1823","5281","0.743384009009009","1823","1258","0.5363244519158965","0.4784585954273687"
"10","50","0.4","0.3","0.5","0.3","0.2","0.05","300","7076","1735","5341","0.7548049745618994","1735","1240","0.5316316096619169","0.47624479750646637"
"5","50","0.4","0.3","0.5","0.3","0.2","0.05","300","6829","1769","5060","0.7409576804803046","1769","1208","0.5285130798113251","0.47616083294658096"
"6","50","0.4","0.3","0.5","0.3","0.2","0.05","300","7002","1714","5288","0.7552127963439017","1714","1223","0.5080838103099196","0.4708606579829045"
"1","50","0.4","0.3","0.5","0.3","0.2","0.05","300","6976","1739","5237","0.7507167431192661","1739","1235","0.5201098684100547","0.4726455928447148"
"9","50","0.4","0.3","0.5","0.3","0.2","0.05","300","7067","1780","5287","0.7481250884392245","1780","1223","0.5139808905271219","0.47493398304608314"
"7","50","0.4","0.3","0.5","0.3","0.2","0.05","300","7006","1766","5240","0.7479303454182129","1766","1262","0.5334964697861685","0.4785575124872391"
"2","50","0.4","0.3","0.5","0.3","0.2","0.05","300","7071","1756","5315","0.7516617168717296","1756","1246","0.505601616422454","0.4751451865603085"
"4","50","0.4","0.3","0.5","0.3","0.2","0.05","300","6938","1740","5198","0.7492072643413087","1740","1215","0.5061060745163947","0.47272539158947774"
"14","100","0.4","0.3","0.5","0.3","0.2","0.05","300","16147","3992","12155","0.752771412646312","3992","2817","0.6255569161625991","0.5596025864346819"
"15","100","0.4","0.3","0.5","0.3","0.2","0.05","300","16010","4098","11912","0.7440349781386634","4098","2796","0.6192203886906726","0.5659954183674354"
