"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-04-05-ABM.nlogox"
"exp2b_sens_init_propensity"
"05/05/2026 00:26:05:269 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","punishment-value","reporter-protection","response-strength","drift-speed","[step]","true-misconduct-total","sanctioned-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"23","300","0.2","0.3","0.5","0.3","0.2","0.05","300","33282","7948","25334","0.761192236043507","7948","5456","0.6471503204239121","0.38661696929429673"
"11","300","0.15","0.3","0.5","0.3","0.2","0.05","300","24702","6840","17862","0.7230993441826573","6840","4745","0.6126657301155194","0.28601932215746195"
"24","300","0.2","0.3","0.5","0.3","0.2","0.05","300","32193","7814","24379","0.757276426552356","7814","5473","0.6489299582469233","0.38693940920794145"
"22","300","0.2","0.3","0.5","0.3","0.2","0.05","300","32934","7902","25032","0.7600655857168883","7902","5485","0.6689326946253347","0.3941043805335508"
"17","300","0.15","0.3","0.5","0.3","0.2","0.05","300","24905","6817","18088","0.7262798634812286","6817","4805","0.6015486718317256","0.2856984808424782"
"13","300","0.15","0.3","0.5","0.3","0.2","0.05","300","24730","6785","17945","0.7256368782854832","6785","4794","0.6090583254569332","0.28558011594739874"
"21","300","0.2","0.3","0.5","0.3","0.2","0.05","300","32105","7728","24377","0.7592898302445102","7728","5375","0.6379602129744989","0.37516241032942693"
"19","300","0.15","0.3","0.5","0.3","0.2","0.05","300","24760","6818","17942","0.7246365105008078","6818","4745","0.5800908984595311","0.2782185760696537"
"18","300","0.15","0.3","0.5","0.3","0.2","0.05","300","24458","6832","17626","0.7206639954207212","6832","4750","0.6190514738052175","0.2922332542213406"
"10","300","0.1","0.3","0.5","0.3","0.2","0.05","300","17540","5730","11810","0.6733181299885975","5730","4035","0.5475432716269132","0.2016091518476062"
"9","300","0.1","0.3","0.5","0.3","0.2","0.05","300","17308","5750","11558","0.6677836838456205","5750","3968","0.563211915166515","0.20459343518601283"
"6","300","0.1","0.3","0.5","0.3","0.2","0.05","300","17097","5613","11484","0.6716967889103351","5613","3979","0.5448368182705284","0.19965115225167177"
"5","300","0.1","0.3","0.5","0.3","0.2","0.05","300","17668","5667","12001","0.6792506225945212","5667","4031","0.5455120795364601","0.1979527301934564"
"8","300","0.1","0.3","0.5","0.3","0.2","0.05","300","17633","5718","11915","0.6757216582544093","5718","4016","0.550965262466968","0.2022903470200938"
"12","300","0.15","0.3","0.5","0.3","0.2","0.05","300","24447","6724","17723","0.7249560273244161","6724","4726","0.6082215400062038","0.28538169475085834"
"7","300","0.1","0.3","0.5","0.3","0.2","0.05","300","17603","5664","11939","0.6782366642049651","5664","3970","0.5519481837666209","0.19997790455310138"
"14","300","0.15","0.3","0.5","0.3","0.2","0.05","300","24826","6846","17980","0.7242407153790381","6846","4806","0.6130296299864063","0.28671193940428025"
"20","300","0.15","0.3","0.5","0.3","0.2","0.05","300","24700","6798","17902","0.7247773279352226","6798","4791","0.6224880516454091","0.28708210609590057"
"3","300","0.1","0.3","0.5","0.3","0.2","0.05","300","17181","5591","11590","0.6745823875210989","5591","3952","0.5550877316390044","0.1999572056063823"
"2","300","0.1","0.3","0.5","0.3","0.2","0.05","300","17339","5728","11611","0.669646461733664","5728","4036","0.575682744747377","0.20984512057680746"
"15","300","0.15","0.3","0.5","0.3","0.2","0.05","300","24969","6834","18135","0.7263006127598222","6834","4829","0.6100076640414767","0.2867241940958428"
"1","300","0.1","0.3","0.5","0.3","0.2","0.05","300","17296","5680","11616","0.6716003700277521","5680","3982","0.5642225657823458","0.2058846044676315"
"16","300","0.15","0.3","0.5","0.3","0.2","0.05","300","24169","6699","17470","0.7228267615540569","6699","4743","0.6036049891290127","0.281147900957946"
"4","300","0.1","0.3","0.5","0.3","0.2","0.05","300","17142","5615","11527","0.6724419554311049","5615","3940","0.5598180028225244","0.20516640305159073"
"26","300","0.2","0.3","0.5","0.3","0.2","0.05","300","32615","7758","24857","0.762133987429097","7758","5378","0.647583303223169","0.3855273504641237"
