"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-04-05-ABM.nlogox"
"exp2c_sens_init_fear"
"05/05/2026 00:26:43:436 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","punishment-value","reporter-protection","response-strength","drift-speed","[step]","true-misconduct-total","sanctioned-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"2","300","0.4","0.05","0.5","0.3","0.2","0.05","300","84155","14815","69340","0.8239557958528905","14815","10277","0.7150307612872361","1"
"8","300","0.4","0.05","0.5","0.3","0.2","0.05","300","83758","14747","69011","0.8239332362281812","14747","10287","0.724758808411592","1"
"12","300","0.4","0.1","0.5","0.3","0.2","0.05","300","83447","13951","69496","0.8328160389229091","13951","9841","0.7493091802901801","1"
"11","300","0.4","0.1","0.5","0.3","0.2","0.05","300","83355","13934","69421","0.8328354627796772","13934","9794","0.7477360498029682","1"
"13","300","0.4","0.1","0.5","0.3","0.2","0.05","300","83605","14088","69517","0.8314933317385323","14088","9841","0.747867759718213","1"
"23","300","0.4","0.15","0.5","0.3","0.2","0.05","300","82291","13181","69110","0.8398245251607102","13181","9224","0.7387967719069888","1"
"18","300","0.4","0.1","0.5","0.3","0.2","0.05","300","83294","14034","69260","0.831512473887675","14034","9800","0.7570628176813363","1"
"21","300","0.4","0.15","0.5","0.3","0.2","0.05","300","82074","13073","69001","0.840716914004435","13073","9204","0.7642090841629208","1"
"17","300","0.4","0.1","0.5","0.3","0.2","0.05","300","83290","13953","69337","0.8324768879817505","13953","9786","0.7486364693690591","1"
"6","300","0.4","0.05","0.5","0.3","0.2","0.05","300","83395","14684","68711","0.8239222974998501","14684","10284","0.7268689855228885","1"
"22","300","0.4","0.15","0.5","0.3","0.2","0.05","300","82188","13165","69023","0.8398184649827225","13165","9186","0.7527303596644831","1"
"24","300","0.4","0.15","0.5","0.3","0.2","0.05","300","82608","13179","69429","0.8404633933759442","13179","9245","0.7489214009295043","1"
"14","300","0.4","0.1","0.5","0.3","0.2","0.05","300","83283","14010","69273","0.8317783941500666","14010","9781","0.7449283915765615","1"
"10","300","0.4","0.05","0.5","0.3","0.2","0.05","300","83908","14744","69164","0.8242837393335558","14744","10343","0.7275709815644096","1"
"19","300","0.4","0.1","0.5","0.3","0.2","0.05","300","82960","13923","69037","0.832172131147541","13923","9722","0.7340337614899876","1"
"20","300","0.4","0.1","0.5","0.3","0.2","0.05","300","83426","14141","69285","0.8304964879054492","14141","9811","0.7370289090047386","1"
"5","300","0.4","0.05","0.5","0.3","0.2","0.05","300","83923","14798","69125","0.8236716990574694","14798","10336","0.7412187573214037","1"
"9","300","0.4","0.05","0.5","0.3","0.2","0.05","300","83718","14695","69023","0.824470245347476","14695","10319","0.7316796979099264","1"
"16","300","0.4","0.1","0.5","0.3","0.2","0.05","300","82933","13959","68974","0.8316834070876491","13959","9866","0.7490012002165004","1"
"7","300","0.4","0.05","0.5","0.3","0.2","0.05","300","83454","14615","68839","0.8248735830517411","14615","10234","0.7304363954174015","1"
"4","300","0.4","0.05","0.5","0.3","0.2","0.05","300","83450","14757","68693","0.8231635710005991","14757","10299","0.7267121894619347","1"
"15","300","0.4","0.1","0.5","0.3","0.2","0.05","300","83309","13966","69343","0.832359048842262","13966","9782","0.7554324134277334","1"
"1","300","0.4","0.05","0.5","0.3","0.2","0.05","300","84130","14791","69339","0.8241887554974444","14791","10342","0.7428425533337356","1"
"3","300","0.4","0.05","0.5","0.3","0.2","0.05","300","83808","14761","69047","0.8238712294768996","14761","10347","0.7364320415750363","1"
"27","300","0.4","0.15","0.5","0.3","0.2","0.05","300","82591","13262","69329","0.8394256032739644","13262","9194","0.7456761377798021","1"
"30","300","0.4","0.15","0.5","0.3","0.2","0.05","300","81663","13076","68587","0.8398785251582724","13076","9203","0.742066975702222","1"
"25","300","0.4","0.15","0.5","0.3","0.2","0.05","300","82456","13281","69175","0.8389322790336664","13281","9291","0.7725079218646665","1"
"26","300","0.4","0.15","0.5","0.3","0.2","0.05","300","81961","13262","68699","0.8381913349031856","13262","9207","0.7612713341854885","1"
"29","300","0.4","0.15","0.5","0.3","0.2","0.05","300","82083","12997","69086","0.8416602707016069","12997","9219","0.7677414860195408","1"
"43","300","0.4","0.25","0.5","0.3","0.2","0.05","300","79460","11634","67826","0.8535867102944877","11634","8156","0.7904510330088704","1"
"42","300","0.4","0.25","0.5","0.3","0.2","0.05","300","79512","11516","67996","0.855166515746051","11516","8100","0.7707042981203809","1"
"28","300","0.4","0.15","0.5","0.3","0.2","0.05","300","82226","13183","69043","0.8396735825651254","13183","9225","0.7505183400466984","1"
"34","300","0.4","0.2","0.5","0.3","0.2","0.05","300","81168","12560","68608","0.8452592154543662","12560","8724","0.7776823386318823","1"
