"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-04-05-ABM.nlogox"
"exp2d_sens_response_strength"
"05/05/2026 00:27:10:341 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","punishment-value","reporter-protection","response-strength","drift-speed","[step]","true-misconduct-total","sanctioned-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"11","300","0.4","0.3","0.5","0.3","0.1","0.05","300","59334","14340","44994","0.7583173222772778","14340","10066","0.6730206072404952","0.8348217036491576"
"16","300","0.4","0.3","0.5","0.3","0.1","0.05","300","59802","14408","45394","0.7590716029564228","14408","10050","0.6663369367315597","0.8448498383063171"
"5","300","0.4","0.3","0.5","0.3","0.05","0.05","300","46524","17221","29303","0.6298469607084516","17221","12032","0.5120597197046465","0.5367674708327725"
"21","300","0.4","0.3","0.5","0.3","0.15","0.05","300","72976","12459","60517","0.8292726375794782","12459","8775","0.7488375204619538","0.9992618313858234"
"24","300","0.4","0.3","0.5","0.3","0.15","0.05","300","72201","12323","59878","0.8293236935776512","12323","8610","0.7499827868194661","0.9986589203069218"
"13","300","0.4","0.3","0.5","0.3","0.1","0.05","300","59030","14428","44602","0.7555819075046587","14428","10036","0.6713742598390504","0.8414445086276164"
"3","300","0.4","0.3","0.5","0.3","0.05","0.05","300","46184","17301","28883","0.6253897453663606","17301","12097","0.5139385860941085","0.5346691626365911"
"7","300","0.4","0.3","0.5","0.3","0.05","0.05","300","46099","17235","28864","0.626130718670687","17235","12041","0.5099703167613415","0.5335937395750596"
"23","300","0.4","0.3","0.5","0.3","0.15","0.05","300","71939","12307","59632","0.8289245054838127","12307","8576","0.7609114804871459","0.996923330210574"
"4","300","0.4","0.3","0.5","0.3","0.05","0.05","300","46278","17215","29063","0.628008989152513","17215","12116","0.5199532365675416","0.5357001683677292"
"22","300","0.4","0.3","0.5","0.3","0.15","0.05","300","71652","12387","59265","0.827122760006699","12387","8675","0.7714909527981137","0.9995662119329628"
"12","300","0.4","0.3","0.5","0.3","0.1","0.05","300","59403","14325","45078","0.7588505631028736","14325","10036","0.655741554651478","0.8418681893036503"
"20","300","0.4","0.3","0.5","0.3","0.1","0.05","300","59304","14358","44946","0.7578915418858762","14358","10109","0.6630313437581331","0.8445469175492867"
"18","300","0.4","0.3","0.5","0.3","0.1","0.05","300","58754","14334","44420","0.7560336317527317","14334","10065","0.6630825449456961","0.8221242800267323"
"9","300","0.4","0.3","0.5","0.3","0.05","0.05","300","46255","17295","28960","0.6260944762728353","17295","12093","0.5133951811045447","0.5370825783396111"
"15","300","0.4","0.3","0.5","0.3","0.1","0.05","300","59600","14430","45170","0.7578859060402685","14430","10101","0.6655719455570489","0.8404255351917961"
"17","300","0.4","0.3","0.5","0.3","0.1","0.05","300","57509","13975","43534","0.7569945573736285","13975","9953","0.654696669009936","0.7972995681754125"
"6","300","0.4","0.3","0.5","0.3","0.05","0.05","300","46148","17225","28923","0.6267443876224321","17225","12046","0.5142727352972605","0.5315852737835594"
"19","300","0.4","0.3","0.5","0.3","0.1","0.05","300","59076","14407","44669","0.7561276999119778","14407","10060","0.6684997497367194","0.8333167363308116"
"14","300","0.4","0.3","0.5","0.3","0.1","0.05","300","57920","14284","43636","0.7533839779005524","14284","9951","0.65762120562258","0.8248157946175584"
"10","300","0.4","0.3","0.5","0.3","0.05","0.05","300","46462","17351","29111","0.6265550342215144","17351","12077","0.5135910654489017","0.5366709830617686"
"8","300","0.4","0.3","0.5","0.3","0.05","0.05","300","46336","17240","29096","0.6279350828729282","17240","12047","0.5118960756363651","0.5373641106903162"
"2","300","0.4","0.3","0.5","0.3","0.05","0.05","300","46363","17187","29176","0.6292949118909476","17187","12121","0.515965107877577","0.5362808420486458"
"1","300","0.4","0.3","0.5","0.3","0.05","0.05","300","46252","17317","28935","0.6255945688835077","17317","12131","0.5120489832543739","0.5368373142615293"
"25","300","0.4","0.3","0.5","0.3","0.15","0.05","300","72787","12499","60288","0.8282797752345886","12499","8701","0.7537215723096493","0.9988653373166985"
"26","300","0.4","0.3","0.5","0.3","0.15","0.05","300","72502","12370","60132","0.8293840169926346","12370","8650","0.7503989046830855","0.9979639021065199"
"30","300","0.4","0.3","0.5","0.3","0.15","0.05","300","72731","12462","60269","0.82865628136558","12462","8744","0.7595915301147762","1"
"36","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77043","10675","66368","0.8614410134600158","10675","7454","0.7971092816096923","1"
"31","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77691","10791","66900","0.8611036027339074","10791","7558","0.796580080716792","1"
"29","300","0.4","0.3","0.5","0.3","0.15","0.05","300","73075","12421","60654","0.8300239479986316","12421","8666","0.7445579796473368","0.9974509917661559"
"38","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77577","10680","66897","0.8623303298658107","10680","7561","0.7998320456989535","1"
"32","300","0.4","0.3","0.5","0.3","0.2","0.05","300","76569","10678","65891","0.8605440844205879","10678","7467","0.7969952466083868","1"
"34","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77433","10760","66673","0.8610411581625406","10760","7588","0.7981450951545238","1"
"41","300","0.4","0.3","0.5","0.3","0.25","0.05","300","80449","9596","70853","0.880719462019416","9596","6721","0.8334037331193282","1"
"33","300","0.4","0.3","0.5","0.3","0.2","0.05","300","78168","10747","67421","0.8625140722546311","10747","7510","0.7832237725690461","1"
"37","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77306","10680","66626","0.8618477220396864","10680","7526","0.7915610212761964","1"
"28","300","0.4","0.3","0.5","0.3","0.15","0.05","300","72075","12324","59751","0.8290114464099896","12324","8647","0.753671740509231","0.9977648134005551"
"35","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77787","10665","67122","0.8628948281846581","10665","7521","0.792724492870751","1"
"27","300","0.4","0.3","0.5","0.3","0.15","0.05","300","72670","12398","60272","0.8293931471033439","12398","8623","0.7552057031513056","0.9988749365652575"
"45","300","0.4","0.3","0.5","0.3","0.25","0.05","300","80404","9637","70767","0.8801427789662206","9637","6753","0.824237157182731","1"
"40","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77985","10840","67145","0.8609989100468038","10840","7526","0.7870038842293738","1"
"43","300","0.4","0.3","0.5","0.3","0.25","0.05","300","80189","9698","70491","0.8790607190512414","9698","6726","0.8463413908767865","1"
"39","300","0.4","0.3","0.5","0.3","0.2","0.05","300","76798","10644","66154","0.861402640693768","10644","7477","0.8047853006189393","1"
"42","300","0.4","0.3","0.5","0.3","0.25","0.05","300","80115","9534","70581","0.8809960681520315","9534","6722","0.8131186583418006","1"
"44","300","0.4","0.3","0.5","0.3","0.25","0.05","300","79993","9638","70355","0.8795144575150325","9638","6713","0.8380043471787715","1"
"46","300","0.4","0.3","0.5","0.3","0.25","0.05","300","80095","9623","70472","0.8798551719832699","9623","6712","0.8217104423282555","1"
"47","300","0.4","0.3","0.5","0.3","0.25","0.05","300","80551","9623","70928","0.8805353130314956","9623","6726","0.8224445058588628","1"
"48","300","0.4","0.3","0.5","0.3","0.25","0.05","300","79884","9524","70360","0.8807771268339092","9524","6789","0.8411742053578887","1"
"49","300","0.4","0.3","0.5","0.3","0.25","0.05","300","79604","9578","70026","0.8796794130948193","9578","6718","0.8411607131787251","1"
"51","300","0.4","0.3","0.5","0.3","0.3","0.05","300","82409","8858","73551","0.8925117402225485","8858","6165","0.8443368691174029","1"
"54","300","0.4","0.3","0.5","0.3","0.3","0.05","300","81933","8742","73191","0.8933030646992054","8742","6154","0.8465593575693526","1"
"61","300","0.4","0.3","0.5","0.3","0.35","0.05","300","83115","8232","74883","0.9009565060458401","8232","5768","0.8508506074197291","1"
"53","300","0.4","0.3","0.5","0.3","0.3","0.05","300","81722","8747","72975","0.8929663982770857","8747","6122","0.838861533248451","1"
"59","300","0.4","0.3","0.5","0.3","0.3","0.05","300","82084","8785","73299","0.892975488523951","8785","6169","0.8610444816092094","1"
"65","300","0.4","0.3","0.5","0.3","0.35","0.05","300","82753","8160","74593","0.9013933029618262","8160","5710","0.8461414199991505","1"
"52","300","0.4","0.3","0.5","0.3","0.3","0.05","300","82050","8821","73229","0.8924923826934796","8821","6163","0.8536319372073409","1"
"71","300","0.4","0.3","0.5","0.3","0.4","0.05","300","84017","7815","76202","0.9069831105609579","7815","5419","0.8674328250032856","1"
"50","300","0.4","0.3","0.5","0.3","0.25","0.05","300","80077","9622","70455","0.8798406533711303","9622","6687","0.8331285719456403","1"
"58","300","0.4","0.3","0.5","0.3","0.3","0.05","300","81539","8771","72768","0.8924318424312292","8771","6180","0.8579338222541746","1"
"55","300","0.4","0.3","0.5","0.3","0.3","0.05","300","82250","8832","73418","0.8926200607902736","8832","6151","0.8405029190730976","1"
"63","300","0.4","0.3","0.5","0.3","0.35","0.05","300","83061","8288","74773","0.9002179121368633","8288","5736","0.8502126128507234","1"
"62","300","0.4","0.3","0.5","0.3","0.35","0.05","300","83086","8209","74877","0.9011987579134872","8209","5785","0.8582799911435067","1"
"60","300","0.4","0.3","0.5","0.3","0.3","0.05","300","81391","8802","72589","0.8918553648437788","8802","6141","0.8459832365593605","1"
"69","300","0.4","0.3","0.5","0.3","0.35","0.05","300","83230","8245","74985","0.9009371620809804","8245","5745","0.8575262541895893","1"
"68","300","0.4","0.3","0.5","0.3","0.35","0.05","300","83307","8256","75051","0.9008966833519392","8256","5773","0.8745480734142265","1"
"67","300","0.4","0.3","0.5","0.3","0.35","0.05","300","82650","8135","74515","0.9015728977616455","8135","5726","0.8445616029897552","1"
"57","300","0.4","0.3","0.5","0.3","0.3","0.05","300","81782","8796","72986","0.892445770462938","8796","6149","0.8547387342785993","1"
"56","300","0.4","0.3","0.5","0.3","0.3","0.05","300","81497","8684","72813","0.8934439304514277","8684","6157","0.8532921965753741","1"
