"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-04-05-ABM.nlogox"
"exp2e_sens_drift_speed"
"05/05/2026 00:27:39:020 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","punishment-value","reporter-protection","response-strength","drift-speed","[step]","true-misconduct-total","sanctioned-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"8","300","0.4","0.3","0.5","0.3","0.2","0.03","300","77517","8004","69513","0.8967452300785634","8004","5655","0.857055915787905","1"
"7","300","0.4","0.3","0.5","0.3","0.2","0.03","300","77285","8110","69175","0.8950637251730608","8110","5583","0.8562071684047464","1"
"6","300","0.4","0.3","0.5","0.3","0.2","0.03","300","76713","8016","68697","0.895506628602714","8016","5643","0.8728223531454159","1"
"10","300","0.4","0.3","0.5","0.3","0.2","0.03","300","77618","8200","69418","0.8943544023293566","8200","5667","0.875934778589518","1"
"4","300","0.4","0.3","0.5","0.3","0.2","0.03","300","76443","7967","68476","0.8957785539552346","7967","5629","0.8777714546259978","1"
"9","300","0.4","0.3","0.5","0.3","0.2","0.03","300","77043","8039","69004","0.8956556728060953","8039","5610","0.8685738327779458","1"
"5","300","0.4","0.3","0.5","0.3","0.2","0.03","300","78203","8076","70127","0.8967303044640231","8076","5660","0.8735005925101426","1"
"1","300","0.4","0.3","0.5","0.3","0.2","0.03","300","77844","8116","69728","0.8957401983454087","8116","5643","0.868626392802254","1"
"22","300","0.4","0.3","0.5","0.3","0.2","0.09","300","74034","14710","59324","0.8013075073614826","14710","10391","0.7133906251471035","0.9988274595173026"
"16","300","0.4","0.3","0.5","0.3","0.2","0.06","300","76855","11899","64956","0.8451759807429575","11899","8339","0.7669728522033727","1"
"15","300","0.4","0.3","0.5","0.3","0.2","0.06","300","76794","11858","64936","0.8455868948094903","11858","8297","0.7709920166838856","1"
"14","300","0.4","0.3","0.5","0.3","0.2","0.06","300","76681","11875","64806","0.8451376481788188","11875","8358","0.7786779465019883","1"
"18","300","0.4","0.3","0.5","0.3","0.2","0.06","300","77220","11996","65224","0.8446516446516447","11996","8364","0.7600491472946835","1"
"12","300","0.4","0.3","0.5","0.3","0.2","0.06","300","77445","11966","65479","0.8454903479888953","11966","8354","0.7608232864638301","1"
"17","300","0.4","0.3","0.5","0.3","0.2","0.06","300","77980","12161","65819","0.8440497563477815","12161","8384","0.7785220166576736","1"
"13","300","0.4","0.3","0.5","0.3","0.2","0.06","300","77525","11904","65621","0.8464495324089003","11904","8398","0.771896303435006","1"
"19","300","0.4","0.3","0.5","0.3","0.2","0.06","300","78018","12130","65888","0.8445230587813068","12130","8344","0.7865930995989127","1"
"21","300","0.4","0.3","0.5","0.3","0.2","0.09","300","74335","14877","59458","0.7998654738682989","14877","10372","0.6897070077727261","0.9997134630711272"
"3","300","0.4","0.3","0.5","0.3","0.2","0.03","300","77331","8124","69207","0.8949451061023393","8124","5585","0.8552847267395385","1"
"23","300","0.4","0.3","0.5","0.3","0.2","0.09","300","74755","14891","59864","0.8008026218982008","14891","10390","0.7066693332393523","0.9979446582944828"
"2","300","0.4","0.3","0.5","0.3","0.2","0.03","300","77063","8028","69035","0.8958254934274554","8028","5611","0.8725489950149523","1"
"11","300","0.4","0.3","0.5","0.3","0.2","0.06","300","77345","11908","65437","0.8460404680328398","11908","8346","0.7671981775430577","1"
"20","300","0.4","0.3","0.5","0.3","0.2","0.06","300","75923","11891","64032","0.8433807936988791","11891","8282","0.768843377828245","1"
"24","300","0.4","0.3","0.5","0.3","0.2","0.09","300","74977","14896","60081","0.8013257398935674","14896","10426","0.709956759644974","0.9985378060311301"
"25","300","0.4","0.3","0.5","0.3","0.2","0.09","300","74182","14765","59417","0.8009624976409372","14765","10354","0.7052765605076642","0.9995750084282728"
"26","300","0.4","0.3","0.5","0.3","0.2","0.09","300","73777","14751","59026","0.8000596391829432","14751","10303","0.7049871652432693","0.9977253938257369"
"27","300","0.4","0.3","0.5","0.3","0.2","0.09","300","74163","14840","59323","0.7999002197861468","14840","10394","0.7199280994536195","0.9991006348435915"
"28","300","0.4","0.3","0.5","0.3","0.2","0.09","300","74573","14679","59894","0.8031593203974629","14679","10397","0.6924355843192278","0.997761455446394"
