"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-06-05-ABM-A.nlogox"
"exp1_policy_grid"
"05/06/2026 14:37:11:947 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","learning-rate","baseline-recovery-rate","punishment-severity","reporter-protection","[step]","committed-misconduct-total","punished-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"20","300","0.4","0.3","0.2","0.05","0.2","0.25","300","20331","6712","13619","0.6698637548571148","6712","4999","0.5031309060208672","0.21859726986845426"
"15","300","0.4","0.3","0.2","0.05","0.2","0.25","300","20473","6745","13728","0.6705416890538758","6745","5020","0.49981525199247356","0.2233407536942777"
"17","300","0.4","0.3","0.2","0.05","0.2","0.25","300","20446","6699","13747","0.6723564511395872","6699","5014","0.5077052574689179","0.21609028731712204"
"16","300","0.4","0.3","0.2","0.05","0.2","0.25","300","20327","6681","13646","0.6713238549712205","6681","5025","0.49831144958117835","0.22471926411380955"
"21","300","0.4","0.3","0.2","0.05","0.2","0.3","300","17140","7035","10105","0.5895565927654609","7035","4912","0.4893993214769692","0.18006368169612186"
"3","300","0.4","0.3","0.2","0.05","0.2","0.2","300","23766","6307","17459","0.734620886981402","6307","5020","0.5104129107007779","0.25810590577477976"
"13","300","0.4","0.3","0.2","0.05","0.2","0.25","300","20471","6683","13788","0.6735381759562308","6683","5000","0.5003567328662626","0.21859916586535358"
"24","300","0.4","0.3","0.2","0.05","0.2","0.3","300","17195","6954","10241","0.5955801104972376","6954","4858","0.4894471470395974","0.18732527855459663"
"23","300","0.4","0.3","0.2","0.05","0.2","0.3","300","17373","6961","10412","0.5993207851263455","6961","4862","0.4848517982102003","0.1794464823471585"
"22","300","0.4","0.3","0.2","0.05","0.2","0.3","300","17384","6980","10404","0.5984813621721123","6980","4871","0.48759318896465365","0.18172232053611695"
"18","300","0.4","0.3","0.2","0.05","0.2","0.25","300","20275","6706","13569","0.6692478421701603","6706","4959","0.490868348558426","0.22073105550269323"
