"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-06-05-ABM-B.nlogox"
"exp1_policy_grid"
"05/06/2026 14:40:57:992 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","learning-rate","baseline-recovery-rate","punishment-severity","reporter-protection","[step]","committed-misconduct-total","punished-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"21","300","0.4","0.3","0.2","0.05","0.2","0.3","300","10368","4840","5528","0.533179012345679","4840","3399","0.4271085191836001","0.11136316038961001"
"22","300","0.4","0.3","0.2","0.05","0.2","0.3","300","10261","4839","5422","0.5284085371796121","4839","3382","0.42319495773168336","0.10664309290706336"
"13","300","0.4","0.3","0.2","0.05","0.2","0.25","300","11832","4656","7176","0.6064908722109533","4656","3506","0.4393993339135789","0.12141238317615105"
"18","300","0.4","0.3","0.2","0.05","0.2","0.25","300","11754","4648","7106","0.60456014973626","4648","3523","0.43810426843482864","0.12529871574057672"
"24","300","0.4","0.3","0.2","0.05","0.2","0.3","300","10467","4823","5644","0.5392184962262349","4823","3395","0.4217508055452998","0.11407569716294189"
"16","300","0.4","0.3","0.2","0.05","0.2","0.25","300","11773","4695","7078","0.6012061496644865","4695","3544","0.4384001924443304","0.12490304228310385"
"14","300","0.4","0.3","0.2","0.05","0.2","0.25","300","11775","4626","7149","0.6071337579617835","4626","3478","0.43565643645079805","0.12969193315044994"
"23","300","0.4","0.3","0.2","0.05","0.2","0.3","300","10325","4825","5500","0.5326876513317191","4825","3432","0.4228165267792463","0.11263492178358323"
"19","300","0.4","0.3","0.2","0.05","0.2","0.25","300","11734","4691","7043","0.6002215783194137","4691","3519","0.4404793657098429","0.12236563972617617"
"15","300","0.4","0.3","0.2","0.05","0.2","0.25","300","11675","4703","6972","0.5971734475374733","4703","3523","0.43513037266391297","0.1242112556014234"
"7","300","0.4","0.3","0.2","0.05","0.2","0.2","300","13426","4429","8997","0.6701176821093401","4429","3549","0.44362905809490466","0.1448548790458819"
"12","300","0.4","0.3","0.2","0.05","0.2","0.25","300","11855","4642","7213","0.608435259384226","4642","3470","0.43091504641577105","0.1288892265100915"
"2","300","0.4","0.3","0.2","0.05","0.2","0.2","300","13619","4419","9200","0.6755268375064248","4419","3568","0.454423212464247","0.13907727222755073"
"17","300","0.4","0.3","0.2","0.05","0.2","0.25","300","11733","4615","7118","0.6066649620727862","4615","3437","0.4295712645723462","0.13277427898822014"
"3","300","0.4","0.3","0.2","0.05","0.2","0.2","300","13526","4415","9111","0.673591601360343","4415","3543","0.4456330591392955","0.14105202379846585"
"6","300","0.4","0.3","0.2","0.05","0.2","0.2","300","13272","4433","8839","0.6659885473176612","4433","3537","0.45228940671452156","0.1371071819855475"
"10","300","0.4","0.3","0.2","0.05","0.2","0.2","300","13475","4417","9058","0.6722077922077923","4417","3554","0.4535549946319495","0.1463283491007147"
"11","300","0.4","0.3","0.2","0.05","0.2","0.25","300","11678","4659","7019","0.6010446994348347","4659","3507","0.4370694815486113","0.1232482091056563"
"4","300","0.4","0.3","0.2","0.05","0.2","0.2","300","13464","4385","9079","0.6743166963755199","4385","3518","0.4525590593220126","0.1445515279532919"
"25","300","0.4","0.3","0.2","0.05","0.2","0.3","300","10212","4867","5345","0.52340383862123","4867","3388","0.4186939893149998","0.11158503092973185"
"20","300","0.4","0.3","0.2","0.05","0.2","0.25","300","11836","4662","7174","0.6061169313957419","4662","3505","0.4389587815950232","0.1194361676843728"
"26","300","0.4","0.3","0.2","0.05","0.2","0.3","300","10136","4833","5303","0.5231846882399369","4833","3360","0.4116390448195329","0.12398250628790373"
"8","300","0.4","0.3","0.2","0.05","0.2","0.2","300","13482","4408","9074","0.6730455422044207","4408","3537","0.44648616779082007","0.14265963850915697"
"9","300","0.4","0.3","0.2","0.05","0.2","0.2","300","13425","4422","9003","0.6706145251396648","4422","3525","0.4454202022133463","0.14976881248443863"
"1","300","0.4","0.3","0.2","0.05","0.2","0.2","300","13440","4437","9003","0.6698660714285715","4437","3519","0.45068759228464406","0.1412286783272733"
"28","300","0.4","0.3","0.2","0.05","0.2","0.3","300","10164","4852","5312","0.52262888626525","4852","3457","0.423865030513338","0.11216897659013068"
"5","300","0.4","0.3","0.2","0.05","0.2","0.2","300","13472","4389","9083","0.6742131828978623","4389","3537","0.4405256897556155","0.15303455102404906"
"27","300","0.4","0.3","0.2","0.05","0.2","0.3","300","10158","4804","5354","0.5270722583185666","4804","3376","0.41746299344986526","0.1161279462211743"
"31","300","0.4","0.3","0.2","0.05","0.2","0.35","300","9048","4981","4067","0.4494916003536693","4981","3231","0.4055540465159012","0.09660024698951589"
"30","300","0.4","0.3","0.2","0.05","0.2","0.3","300","10198","4854","5344","0.5240243184938224","4854","3370","0.4228070909322564","0.10412636948258384"
"33","300","0.4","0.3","0.2","0.05","0.2","0.35","300","8889","4977","3912","0.4400944988187648","4977","3178","0.3982628430322919","0.10391743241833062"
"34","300","0.4","0.3","0.2","0.05","0.2","0.35","300","9075","4984","4091","0.4507988980716253","4984","3216","0.4142694975112202","0.0958937308881889"
"38","300","0.4","0.3","0.2","0.05","0.2","0.35","300","8922","4988","3934","0.4409325263393858","4988","3215","0.412626937714896","0.09685640991761107"
"37","300","0.4","0.3","0.2","0.05","0.2","0.35","300","9053","4976","4077","0.45034795095548436","4976","3215","0.41076735541558396","0.08969952388430778"
"35","300","0.4","0.3","0.2","0.05","0.2","0.35","300","8917","4988","3929","0.44061904227879334","4988","3269","0.41134048410820195","0.08978953838152275"
"29","300","0.4","0.3","0.2","0.05","0.2","0.3","300","10306","4863","5443","0.528138948185523","4863","3356","0.4259519748866685","0.10666027785716294"
"36","300","0.4","0.3","0.2","0.05","0.2","0.35","300","8996","5004","3992","0.4437527790128946","5004","3252","0.4049572197596375","0.1021353625622108"
"32","300","0.4","0.3","0.2","0.05","0.2","0.35","300","8998","4988","4010","0.44565458990886864","4988","3216","0.4077732682199984","0.09364400563237481"
"39","300","0.4","0.3","0.2","0.05","0.2","0.35","300","8985","4985","4000","0.44518642181413465","4985","3260","0.40987872221981625","0.09896730307071253"
"44","300","0.4","0.3","0.2","0.05","0.2","0.4","300","8154","5055","3099","0.3800588668138337","5055","3023","0.3914337979705075","0.079678405985521"
"46","300","0.4","0.3","0.2","0.05","0.2","0.4","300","8012","5061","2951","0.36832251622566153","5061","3045","0.3947674402829971","0.08045653273399041"
"42","300","0.4","0.3","0.2","0.05","0.2","0.4","300","7971","5041","2930","0.36758248651361186","5041","3018","0.39458875206411576","0.09132928441783685"
"40","300","0.4","0.3","0.2","0.05","0.2","0.35","300","9024","4984","4040","0.44769503546099293","4984","3239","0.4138561762243794","0.08647014154551387"
"45","300","0.4","0.3","0.2","0.05","0.2","0.4","300","8031","5044","2987","0.37193375669281536","5044","3056","0.3908838608617569","0.08562740034303543"
"43","300","0.4","0.3","0.2","0.05","0.2","0.4","300","8119","5040","3079","0.37923389579997535","5040","2997","0.39518334749442824","0.08075791330387845"
