"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-06-05-ABM-C.nlogox"
"exp1_policy_grid"
"05/06/2026 14:42:47:900 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","learning-rate","baseline-recovery-rate","punishment-severity","reporter-protection","[step]","committed-misconduct-total","punished-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"24","300","0.4","0.3","0.2","0.05","0.2","0.3","300","6496","3412","3084","0.4747536945812808","3412","2354","0.38658994806682545","0.0644408777645677"
"4","300","0.4","0.3","0.2","0.05","0.2","0.2","300","9107","3353","5754","0.6318216756341276","3353","2703","0.41434521699784155","0.09426887106527455"
"17","300","0.4","0.3","0.2","0.05","0.2","0.25","300","7656","3416","4240","0.5538140020898642","3416","2575","0.401539479495623","0.07626359466539404"
"23","300","0.4","0.3","0.2","0.05","0.2","0.3","300","6567","3414","3153","0.4801279122887163","3414","2405","0.37757622802088253","0.07675069195664845"
"19","300","0.4","0.3","0.2","0.05","0.2","0.25","300","7657","3375","4282","0.5592268512472247","3375","2541","0.39841632094343393","0.07552414920263516"
"21","300","0.4","0.3","0.2","0.05","0.2","0.3","300","6611","3408","3203","0.4844955377401301","3408","2419","0.3852659760942291","0.07297789923214128"
"14","300","0.4","0.3","0.2","0.05","0.2","0.25","300","7677","3395","4282","0.5577699622248274","3395","2574","0.3986330276073465","0.0811971683973127"
"8","300","0.4","0.3","0.2","0.05","0.2","0.2","300","9143","3361","5782","0.6323963688067374","3361","2688","0.4085222721099953","0.10700279771446032"
"18","300","0.4","0.3","0.2","0.05","0.2","0.25","300","7586","3406","4180","0.5510150276825732","3406","2579","0.40157095795454106","0.07150619599529047"
"25","300","0.4","0.3","0.2","0.05","0.2","0.3","300","6628","3419","3209","0.48415811707905854","3419","2436","0.3858894742055745","0.06860441529498239"
"16","300","0.4","0.3","0.2","0.05","0.2","0.25","300","7616","3432","4184","0.5493697478991597","3432","2539","0.399775949829442","0.07833240735590544"
"10","300","0.4","0.3","0.2","0.05","0.2","0.2","300","9179","3370","5809","0.6328576097614119","3370","2693","0.4121730792040631","0.08784855286933956"
"6","300","0.4","0.3","0.2","0.05","0.2","0.2","300","9044","3378","5666","0.6264927023440955","3378","2676","0.41552671176826855","0.08773688558122159"
"7","300","0.4","0.3","0.2","0.05","0.2","0.2","300","9035","3374","5661","0.6265633646928611","3374","2680","0.4063393465177984","0.10433998101568691"
"15","300","0.4","0.3","0.2","0.05","0.2","0.25","300","7631","3385","4246","0.5564146245577251","3385","2556","0.4004775551204579","0.08620247399116222"
"11","300","0.4","0.3","0.2","0.05","0.2","0.25","300","7633","3396","4237","0.555089741910127","3396","2523","0.405606628985291","0.07479687772789811"
"12","300","0.4","0.3","0.2","0.05","0.2","0.25","300","7560","3401","4159","0.5501322751322751","3401","2534","0.3961106146055609","0.08652627124218264"
"27","300","0.4","0.3","0.2","0.05","0.2","0.3","300","6553","3440","3113","0.4750495956050664","3440","2398","0.38216674811071494","0.07981266770722847"
"5","300","0.4","0.3","0.2","0.05","0.2","0.2","300","9273","3338","5935","0.6400301951903375","3338","2715","0.4146872448182453","0.09678514279437822"
"28","300","0.4","0.3","0.2","0.05","0.2","0.3","300","6524","3417","3107","0.4762415695892091","3417","2423","0.3816093415927087","0.074218221224675"
"20","300","0.4","0.3","0.2","0.05","0.2","0.25","300","7684","3389","4295","0.5589536699635607","3389","2524","0.4013220131497377","0.07362508486568191"
"13","300","0.4","0.3","0.2","0.05","0.2","0.25","300","7554","3425","4129","0.5465978289647868","3425","2556","0.40350179290389726","0.07755716829612429"
"26","300","0.4","0.3","0.2","0.05","0.2","0.3","300","6509","3396","3113","0.4782608695652174","3396","2354","0.38688432364128134","0.06446022549040394"
"22","300","0.4","0.3","0.2","0.05","0.2","0.3","300","6623","3414","3209","0.48452362977502644","3414","2404","0.3840263610227385","0.07114461807229201"
"3","300","0.4","0.3","0.2","0.05","0.2","0.2","300","9020","3361","5659","0.6273835920177384","3361","2644","0.39574158802780074","0.11196917075404142"
"2","300","0.4","0.3","0.2","0.05","0.2","0.2","300","8966","3370","5596","0.6241356234664287","3370","2692","0.4156948955513115","0.09299288053313075"
"29","300","0.4","0.3","0.2","0.05","0.2","0.3","300","6570","3422","3148","0.4791476407914764","3422","2432","0.3848518621308416","0.07647986945518696"
"9","300","0.4","0.3","0.2","0.05","0.2","0.2","300","9049","3385","5664","0.6259255166316721","3385","2718","0.40341010540260036","0.10773352618199904"
"1","300","0.4","0.3","0.2","0.05","0.2","0.2","300","9076","3355","5721","0.630343763772587","3355","2698","0.409887794167312","0.09125729613275797"
"31","300","0.4","0.3","0.2","0.05","0.2","0.35","300","5722","3436","2286","0.39951066060817897","3436","2267","0.3722489667247668","0.0661995203826937"
"30","300","0.4","0.3","0.2","0.05","0.2","0.3","300","6597","3417","3180","0.48203728967712595","3417","2434","0.3863827409435425","0.06820141573726057"
"33","300","0.4","0.3","0.2","0.05","0.2","0.35","300","5716","3407","2309","0.4039538138558432","3407","2167","0.370440678405046","0.061051488176660736"
"34","300","0.4","0.3","0.2","0.05","0.2","0.35","300","5675","3404","2271","0.4001762114537445","3404","2194","0.3702811352407351","0.052873585236091314"
"32","300","0.4","0.3","0.2","0.05","0.2","0.35","300","5726","3411","2315","0.40429619280475027","3411","2183","0.372460650561223","0.06386541760524725"
"35","300","0.4","0.3","0.2","0.05","0.2","0.35","300","5834","3420","2414","0.4137812821391841","3420","2189","0.3713850710027111","0.05147889027298931"
"37","300","0.4","0.3","0.2","0.05","0.2","0.35","300","5758","3398","2360","0.40986453629732544","3398","2179","0.3686602536778954","0.07148579669394561"
"39","300","0.4","0.3","0.2","0.05","0.2","0.35","300","5683","3435","2248","0.3955657223297554","3435","2232","0.37059337754643085","0.060466680165719315"
"36","300","0.4","0.3","0.2","0.05","0.2","0.35","300","5794","3404","2390","0.4124956851915775","3404","2287","0.3696342116579662","0.05809850076608061"
"41","300","0.4","0.3","0.2","0.05","0.2","0.4","300","5101","3382","1719","0.33699274652029015","3382","1999","0.36315013806946356","0.052168118970253134"
"40","300","0.4","0.3","0.2","0.05","0.2","0.35","300","5746","3391","2355","0.4098503306648103","3391","2206","0.3691183964972608","0.0636145123070135"
"38","300","0.4","0.3","0.2","0.05","0.2","0.35","300","5727","3441","2286","0.3991618648507072","3441","2250","0.376578718131141","0.06063076865537527"
"42","300","0.4","0.3","0.2","0.05","0.2","0.4","300","5065","3379","1686","0.3328726554787759","3379","2021","0.3622270519467739","0.05672315796702357"
"44","300","0.4","0.3","0.2","0.05","0.2","0.4","300","5106","3395","1711","0.33509596553074816","3395","2026","0.35934995084636406","0.052015959228509254"
"43","300","0.4","0.3","0.2","0.05","0.2","0.4","300","5222","3387","1835","0.3513979318268862","3387","2101","0.36218208434556703","0.06113619443467632"
"45","300","0.4","0.3","0.2","0.05","0.2","0.4","300","5109","3398","1711","0.33489919749461733","3398","2006","0.3602396267016027","0.05243625260055038"
"46","300","0.4","0.3","0.2","0.05","0.2","0.4","300","5097","3419","1678","0.3292132627035511","3419","2041","0.36480287786172677","0.05701233847857724"
"47","300","0.4","0.3","0.2","0.05","0.2","0.4","300","5102","3399","1703","0.3337906703253626","3399","2019","0.36341776971390016","0.04502746486849005"
