"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-06-05-ABM-D.nlogox"
"exp1_policy_grid"
"05/06/2026 14:44:36:067 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","learning-rate","baseline-recovery-rate","punishment-severity","reporter-protection","[step]","committed-misconduct-total","punished-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"15","300","0.4","0.3","0.2","0.05","0.2","0.25","300","25797","7594","18203","0.7056246850408963","7594","5682","0.5225518289948932","0.28661740087037474"
"17","300","0.4","0.3","0.2","0.05","0.2","0.25","300","26149","7709","18440","0.7051894909939195","7709","5756","0.5393072961059416","0.2775003823811183"
"24","300","0.4","0.3","0.2","0.05","0.2","0.3","300","24014","8516","15498","0.6453735321062714","8516","5916","0.5274929941122055","0.2585943031803954"
"23","300","0.4","0.3","0.2","0.05","0.2","0.3","300","23862","8444","15418","0.6461319252367781","8444","5911","0.5164693782789217","0.25816441866058576"
"19","300","0.4","0.3","0.2","0.05","0.2","0.25","300","25793","7610","18183","0.7049587097274455","7610","5707","0.5305010341376447","0.28188210343123876"
"14","300","0.4","0.3","0.2","0.05","0.2","0.25","300","25732","7634","18098","0.7033265972330173","7634","5731","0.5221399534371582","0.2827804695471996"
"18","300","0.4","0.3","0.2","0.05","0.2","0.25","300","25936","7716","18220","0.7024984577421345","7716","5739","0.5323464127657286","0.27970275033485015"
"12","300","0.4","0.3","0.2","0.05","0.2","0.25","300","26078","7631","18447","0.7073778664007976","7631","5760","0.5351104229509928","0.2809113700846055"
"10","300","0.4","0.3","0.2","0.05","0.2","0.2","300","27464","6781","20683","0.7530949606757937","6781","5379","0.5348790738784006","0.3021590952443173"
"11","300","0.4","0.3","0.2","0.05","0.2","0.25","300","25962","7590","18372","0.707649641784146","7590","5670","0.5259965234592221","0.2825980341312565"
