"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-06-05-ABM-E.nlogox"
"exp1_policy_grid"
"05/06/2026 15:21:51:741 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","learning-rate","baseline-recovery-rate","punishment-severity","reporter-protection","[step]","committed-misconduct-total","punished-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"20","300","0.4","0.3","0.2","0.05","0.2","0.25","300","25069","7478","17591","0.7017032988950497","7478","5551","0.5287709194422928","0.267411674135234"
"9","300","0.4","0.3","0.2","0.05","0.2","0.2","300","27780","6730","21050","0.7577393808495321","6730","5411","0.5249162495531798","0.3042082926931476"
"10","300","0.4","0.3","0.2","0.05","0.2","0.2","300","27620","6702","20918","0.7573497465604634","6702","5379","0.5294605827828797","0.3029100119066015"
"23","300","0.4","0.3","0.2","0.05","0.2","0.3","300","22207","8120","14087","0.634349529427658","8120","5641","0.5089751936186512","0.2380528335970789"
"24","300","0.4","0.3","0.2","0.05","0.2","0.3","300","21782","8166","13616","0.625103296299697","8166","5625","0.5178981187973158","0.2357699166522988"
"22","300","0.4","0.3","0.2","0.05","0.2","0.3","300","22084","8081","14003","0.6340789712008694","8081","5639","0.5076013979702234","0.24334866441002026"
"21","300","0.4","0.3","0.2","0.05","0.2","0.3","300","21947","8009","13938","0.6350754089397184","8009","5593","0.5046465784603946","0.24125933550893303"
"18","300","0.4","0.3","0.2","0.05","0.2","0.25","300","24891","7481","17410","0.699449600257121","7481","5679","0.5344626746442318","0.2700635824957785"
"19","300","0.4","0.3","0.2","0.05","0.2","0.25","300","24801","7402","17399","0.701544292568848","7402","5593","0.5291158943528729","0.26956281323761533"
"13","300","0.4","0.3","0.2","0.05","0.2","0.25","300","25103","7449","17654","0.703262558259969","7449","5614","0.5227441895995523","0.26998155269577034"
"11","300","0.4","0.3","0.2","0.05","0.2","0.25","300","24765","7496","17269","0.6973147587320816","7496","5552","0.5242590970745976","0.2676073992663291"
"6","300","0.4","0.3","0.2","0.05","0.2","0.2","300","27685","6752","20933","0.756113418818855","6752","5369","0.5339519517314272","0.3014524887788415"
"5","300","0.4","0.3","0.2","0.05","0.2","0.2","300","27549","6841","20708","0.7516788268176703","6841","5382","0.5321637434191944","0.30197063318426615"
"17","300","0.4","0.3","0.2","0.05","0.2","0.25","300","24926","7454","17472","0.700954826285806","7454","5577","0.519480543151707","0.2723933798796814"
