"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-06-05-ABM-F.nlogox"
"exp2d_sens_response_strength"
"05/06/2026 16:07:01:745 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","punishment-severity","reporter-protection","learning-rate","baseline-recovery-rate","[step]","committed-misconduct-total","punished-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"11","300","0.4","0.3","0.5","0.3","0.1","0.05","300","50665","13332","37333","0.7368597651238528","13332","9375","0.6184433561416117","0.6034240316349538"
"22","300","0.4","0.3","0.5","0.3","0.15","0.05","300","60711","11731","48980","0.806773072425096","11731","8226","0.7237859395717415","0.8547559871968815"
"15","300","0.4","0.3","0.5","0.3","0.1","0.05","300","51863","13760","38103","0.7346856140215567","13760","9497","0.6156842586577124","0.628140022378134"
"10","300","0.4","0.3","0.5","0.3","0.05","0.05","300","44053","16682","27371","0.6213197739087009","16682","11614","0.49845577258768703","0.5000120361646008"
"17","300","0.4","0.3","0.5","0.3","0.1","0.05","300","50975","13355","37620","0.7380088278567926","13355","9392","0.6302289361519665","0.6115301041741364"
"14","300","0.4","0.3","0.5","0.3","0.1","0.05","300","51169","13624","37545","0.7337450409427583","13624","9452","0.6197833198349653","0.6186118243203308"
"6","300","0.4","0.3","0.5","0.3","0.05","0.05","300","44131","16735","27396","0.6207881081326052","16735","11713","0.5103195453774839","0.5049522883692618"
"24","300","0.4","0.3","0.5","0.3","0.15","0.05","300","61782","11857","49925","0.8080832604965847","11857","8195","0.7364921265304811","0.8845943201149097"
"23","300","0.4","0.3","0.5","0.3","0.15","0.05","300","61172","11810","49362","0.8069378146864579","11810","8187","0.7402180219988856","0.8750479119816674"
"19","300","0.4","0.3","0.5","0.3","0.1","0.05","300","51519","13601","37918","0.7360003105650342","13601","9428","0.6268287489711869","0.6227631562575314"
"21","300","0.4","0.3","0.5","0.3","0.15","0.05","300","59806","11631","48175","0.805521185165368","11631","8128","0.7338162199086166","0.8644118985225981"
"12","300","0.4","0.3","0.5","0.3","0.1","0.05","300","50967","13460","37507","0.7359075480212687","13460","9479","0.6305207552430624","0.6213169402066938"
"5","300","0.4","0.3","0.5","0.3","0.05","0.05","300","43862","16667","27195","0.6200127673156719","16667","11678","0.5012253494179671","0.5006839694267717"
"16","300","0.4","0.3","0.5","0.3","0.1","0.05","300","50668","13484","37184","0.7338754243309387","13484","9409","0.6210377654509025","0.613868518615895"
"27","300","0.4","0.3","0.5","0.3","0.15","0.05","300","60288","11613","48675","0.807374601910828","11613","8071","0.7333878255949235","0.8663173959007887"
"20","300","0.4","0.3","0.5","0.3","0.1","0.05","300","51388","13494","37894","0.7374095119483148","13494","9424","0.6199578588866735","0.6158005902903867"
"1","300","0.4","0.3","0.5","0.3","0.05","0.05","300","44099","16895","27204","0.6168847366153427","16895","11813","0.5043707633273966","0.5025807297856821"
"25","300","0.4","0.3","0.5","0.3","0.15","0.05","300","60848","11780","49068","0.8064028398632659","11780","8199","0.737725415390632","0.8689584960767024"
"13","300","0.4","0.3","0.5","0.3","0.1","0.05","300","51039","13433","37606","0.7368091067614961","13433","9430","0.6154561514667738","0.6107404669915264"
"2","300","0.4","0.3","0.5","0.3","0.05","0.05","300","44192","16729","27463","0.621447320782042","16729","11851","0.5059110605669925","0.5022255648485024"
"26","300","0.4","0.3","0.5","0.3","0.15","0.05","300","61025","11669","49356","0.8087832855387136","11669","8114","0.7357854628891405","0.8751886087375191"
"18","300","0.4","0.3","0.5","0.3","0.1","0.05","300","51600","13521","38079","0.7379651162790698","13521","9489","0.625725706694451","0.6231670252482481"
"3","300","0.4","0.3","0.5","0.3","0.05","0.05","300","43834","16750","27084","0.6178765341971986","16750","11703","0.5096414986178145","0.5028857661071363"
"7","300","0.4","0.3","0.5","0.3","0.05","0.05","300","44028","16716","27312","0.6203325156718452","16716","11720","0.5005656185697018","0.5009577636123211"
"8","300","0.4","0.3","0.5","0.3","0.05","0.05","300","43998","16670","27328","0.6211191417791718","16670","11672","0.5022733745249964","0.4995945180972731"
"29","300","0.4","0.3","0.5","0.3","0.15","0.05","300","59983","11634","48349","0.8060450460963939","11634","8161","0.7435932830398877","0.8506759039891535"
"9","300","0.4","0.3","0.5","0.3","0.05","0.05","300","44328","16841","27487","0.6200821151416712","16841","11870","0.5073603239276553","0.5056630096483752"
"30","300","0.4","0.3","0.5","0.3","0.15","0.05","300","60639","11653","48986","0.807829944425205","11653","8183","0.7355790922988167","0.8626909591944432"
"4","300","0.4","0.3","0.5","0.3","0.05","0.05","300","43655","16676","26979","0.6180048104455389","16676","11706","0.5081883020337608","0.5041456902236103"
"28","300","0.4","0.3","0.5","0.3","0.15","0.05","300","61039","11661","49378","0.808958207047953","11661","8196","0.7379779613949116","0.8735824837990136"
"33","300","0.4","0.3","0.5","0.3","0.2","0.05","300","68593","10332","58261","0.8493723849372385","10332","7214","0.7941894175665838","0.990329054234041"
"31","300","0.4","0.3","0.5","0.3","0.2","0.05","300","69273","10289","58984","0.8514717133659578","10289","7302","0.794204154737985","0.9901430211225852"
"35","300","0.4","0.3","0.5","0.3","0.2","0.05","300","69040","10305","58735","0.8507387022016223","10305","7254","0.7933323912053262","0.9867323573966534"
"32","300","0.4","0.3","0.5","0.3","0.2","0.05","300","71144","10520","60624","0.852130889463623","10520","7350","0.7956404224328194","0.9946392715907443"
"34","300","0.4","0.3","0.5","0.3","0.2","0.05","300","71008","10592","60416","0.8508337088778729","10592","7284","0.795849773858606","0.9978741526465831"
"36","300","0.4","0.3","0.5","0.3","0.2","0.05","300","69510","10287","59223","0.8520069054812257","10287","7219","0.792671314178857","0.9894379959000762"
"38","300","0.4","0.3","0.5","0.3","0.2","0.05","300","70091","10352","59739","0.8523062875404831","10352","7295","0.7945940677646216","0.9907434568718098"
"37","300","0.4","0.3","0.5","0.3","0.2","0.05","300","71033","10494","60539","0.8522658482677066","10494","7287","0.7958643348185493","0.9943109731029355"
"43","300","0.4","0.3","0.5","0.3","0.25","0.05","300","74456","9349","65107","0.8744359084560008","9349","6585","0.8308422620746739","0.9996319065277226"
