"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-06-05-ABM-F.nlogox"
"exp1_policy_grid"
"05/06/2026 16:00:45:288 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","learning-rate","baseline-recovery-rate","punishment-severity","reporter-protection","[step]","committed-misconduct-total","punished-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"16","300","0.4","0.3","0.2","0.05","0.2","0.25","300","33355","8628","24727","0.7413281367111377","8628","6471","0.5705836529217594","0.36491299358596213"
"17","300","0.4","0.3","0.2","0.05","0.2","0.25","300","32962","8601","24361","0.7390631636429829","8601","6386","0.5553734668209436","0.36566933825793524"
"5","300","0.4","0.3","0.2","0.05","0.2","0.2","300","36585","7720","28865","0.7889845565122318","7720","6167","0.5778348562070852","0.4089535867414076"
"2","300","0.4","0.3","0.2","0.05","0.2","0.2","300","36430","7793","28637","0.7860828987098545","7793","6287","0.5789219148417284","0.4089631345730714"
"18","300","0.4","0.3","0.2","0.05","0.2","0.25","300","33025","8689","24336","0.7368962906888721","8689","6500","0.5601798963694808","0.36420294568371653"
"15","300","0.4","0.3","0.2","0.05","0.2","0.25","300","33207","8701","24506","0.7379769325744572","8701","6589","0.5696315598072177","0.36493629977800557"
"6","300","0.4","0.3","0.2","0.05","0.2","0.2","300","36820","7886","28934","0.7858229223248234","7886","6302","0.5796613474028728","0.40913453078775286"
"8","300","0.4","0.3","0.2","0.05","0.2","0.2","300","36700","7745","28955","0.7889645776566757","7745","6189","0.573945402805262","0.40896156817282353"
"14","300","0.4","0.3","0.2","0.05","0.2","0.25","300","33405","8734","24671","0.7385421344110163","8734","6634","0.5760117569591928","0.3640587222280443"
"20","300","0.4","0.3","0.2","0.05","0.2","0.25","300","33360","8662","24698","0.7403477218225419","8662","6520","0.5644200446595267","0.36562724493239346"
"13","300","0.4","0.3","0.2","0.05","0.2","0.25","300","33001","8603","24398","0.739310929971819","8603","6379","0.5513080906262547","0.36685834915599663"
"22","300","0.4","0.3","0.2","0.05","0.2","0.3","300","29031","9324","19707","0.6788260824635735","9324","6516","0.5504405397246058","0.31920677716343204"
"11","300","0.4","0.3","0.2","0.05","0.2","0.25","300","33168","8639","24529","0.7395381090207429","8639","6551","0.5711217482169562","0.3644551137796181"
"23","300","0.4","0.3","0.2","0.05","0.2","0.3","300","29447","9482","19965","0.6779977586850953","9482","6602","0.5567688721050824","0.3184934144037822"
"9","300","0.4","0.3","0.2","0.05","0.2","0.2","300","36764","7743","29021","0.7893863562180394","7743","6225","0.5745162710025442","0.40913771305780683"
"3","300","0.4","0.3","0.2","0.05","0.2","0.2","300","36728","7785","28943","0.7880363755173165","7785","6276","0.5812882748822848","0.40902219734327233"
