"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-06-05-ABM-F.nlogox"
"exp2a_sens_employees"
"05/06/2026 16:05:47:849 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","punishment-severity","reporter-protection","learning-rate","baseline-recovery-rate","[step]","committed-misconduct-total","punished-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"7","50","0.4","0.3","0.5","0.3","0.2","0.05","300","6802","1700","5102","0.7500735077918259","1700","1219","0.49992921767939286","0.456047442641973"
"2","50","0.4","0.3","0.5","0.3","0.2","0.05","300","6836","1794","5042","0.7375658279695728","1794","1248","0.5050348761855272","0.45881217411880554"
"6","50","0.4","0.3","0.5","0.3","0.2","0.05","300","6767","1724","5043","0.7452342249150288","1724","1215","0.5024111613967692","0.4566981047960111"
"9","50","0.4","0.3","0.5","0.3","0.2","0.05","300","6888","1769","5119","0.7431765389082462","1769","1230","0.5143594754341422","0.45928262517914215"
"3","50","0.4","0.3","0.5","0.3","0.2","0.05","300","6957","1734","5223","0.7507546356188012","1734","1254","0.5445512224676495","0.4603321762782267"
"4","50","0.4","0.3","0.5","0.3","0.2","0.05","300","6788","1759","5029","0.7408662345315262","1759","1206","0.5267741712931026","0.4634619483928023"
"8","50","0.4","0.3","0.5","0.3","0.2","0.05","300","6799","1695","5104","0.750698632151787","1695","1184","0.5082542623937362","0.4597547469697503"
"1","50","0.4","0.3","0.5","0.3","0.2","0.05","300","6926","1817","5109","0.7376552122437193","1817","1239","0.5300315323892102","0.465546960392916"
"5","50","0.4","0.3","0.5","0.3","0.2","0.05","300","6886","1740","5146","0.7473133894859134","1740","1220","0.50957488256083","0.4598295455311128"
"10","50","0.4","0.3","0.5","0.3","0.2","0.05","300","6724","1733","4991","0.742266508030934","1733","1214","0.49522487750750743","0.457752866958959"
