"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-06-05-ABM-F.nlogox"
"exp2b_sens_init_propensity"
"05/06/2026 16:06:05:966 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","punishment-severity","reporter-protection","learning-rate","baseline-recovery-rate","[step]","committed-misconduct-total","punished-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"23","300","0.2","0.3","0.5","0.3","0.2","0.05","300","28514","7341","21173","0.7425475205162376","7341","5104","0.6377904981671833","0.33293592121370785"
"2","300","0.1","0.3","0.5","0.3","0.2","0.05","300","15855","5414","10441","0.6585304320403658","5414","3758","0.5352260755190701","0.18143034011350215"
"9","300","0.1","0.3","0.5","0.3","0.2","0.05","300","15503","5325","10178","0.6565180932722698","5325","3716","0.5434840164170066","0.1795736684550617"
"22","300","0.2","0.3","0.5","0.3","0.2","0.05","300","28357","7258","21099","0.7440490884085058","7258","5054","0.623882427980634","0.3272830297101971"
"6","300","0.1","0.3","0.5","0.3","0.2","0.05","300","15659","5421","10238","0.6538093109393959","5421","3754","0.5508765861339981","0.1823989952877499"
"17","300","0.15","0.3","0.5","0.3","0.2","0.05","300","22688","6649","16039","0.7069375881523272","6649","4657","0.6053292712274919","0.2632438183417519"
"10","300","0.1","0.3","0.5","0.3","0.2","0.05","300","15493","5397","10096","0.651649131866004","5397","3717","0.5297911311332073","0.1806459377726176"
"16","300","0.15","0.3","0.5","0.3","0.2","0.05","300","21756","6410","15346","0.7053686339400626","6410","4505","0.5841836105825711","0.25149357497902464"
"15","300","0.15","0.3","0.5","0.3","0.2","0.05","300","22525","6566","15959","0.7085016648168702","6566","4586","0.6017105370004813","0.2575011971211855"
"5","300","0.1","0.3","0.5","0.3","0.2","0.05","300","15445","5322","10123","0.6554224668177404","5322","3741","0.53524659098842","0.17515423392585178"
"19","300","0.15","0.3","0.5","0.3","0.2","0.05","300","22088","6497","15591","0.7058583846432452","6497","4500","0.5786959614182107","0.25279026639854424"
"11","300","0.15","0.3","0.5","0.3","0.2","0.05","300","22349","6530","15819","0.7078169045594881","6530","4564","0.5879551468480946","0.254785945241471"
"1","300","0.1","0.3","0.5","0.3","0.2","0.05","300","15787","5347","10440","0.6613036042313296","5347","3754","0.527057593543261","0.17845502365338017"
"25","300","0.2","0.3","0.5","0.3","0.2","0.05","300","29212","7349","21863","0.748425304669314","7349","5135","0.629666791413154","0.3346214496879842"
"20","300","0.15","0.3","0.5","0.3","0.2","0.05","300","22147","6470","15677","0.7078611098568655","6470","4549","0.5854072062541382","0.2574905052483394"
"8","300","0.1","0.3","0.5","0.3","0.2","0.05","300","15629","5326","10303","0.6592232388508542","5326","3733","0.5336107626407413","0.17788326936719207"
"7","300","0.1","0.3","0.5","0.3","0.2","0.05","300","15634","5366","10268","0.6567736983497505","5366","3731","0.5447527459306801","0.17940618949252546"
"12","300","0.15","0.3","0.5","0.3","0.2","0.05","300","22242","6492","15750","0.7081197734016725","6492","4537","0.5860030726750939","0.2529485390708085"
"3","300","0.1","0.3","0.5","0.3","0.2","0.05","300","15617","5341","10276","0.658000896458987","5341","3715","0.5382809686945418","0.17677045366497096"
"14","300","0.15","0.3","0.5","0.3","0.2","0.05","300","22124","6412","15712","0.7101789911408425","6412","4507","0.5884098214031396","0.24829689581370598"
"13","300","0.15","0.3","0.5","0.3","0.2","0.05","300","22174","6490","15684","0.7073148732750068","6490","4492","0.5818172925405669","0.25143643274038474"
"4","300","0.1","0.3","0.5","0.3","0.2","0.05","300","15516","5366","10150","0.6541634441866461","5366","3712","0.5389644561542455","0.18120543321474675"
