"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-06-05-ABM-F.nlogox"
"exp2c_sens_init_fear"
"05/06/2026 16:06:33:539 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","punishment-severity","reporter-protection","learning-rate","baseline-recovery-rate","[step]","committed-misconduct-total","punished-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"17","300","0.4","0.1","0.5","0.3","0.2","0.05","300","80040","13858","66182","0.8268615692153923","13858","9639","0.7421384087575511","1"
"21","300","0.4","0.15","0.5","0.3","0.2","0.05","300","79168","13055","66113","0.8350975141471302","13055","9127","0.757875694302716","1"
"19","300","0.4","0.1","0.5","0.3","0.2","0.05","300","80000","13819","66181","0.8272625","13819","9663","0.7408752800469156","1"
"20","300","0.4","0.1","0.5","0.3","0.2","0.05","300","80120","13819","66301","0.8275212181727409","13819","9732","0.7492835025841966","1"
"15","300","0.4","0.1","0.5","0.3","0.2","0.05","300","80221","13738","66483","0.8287480834195535","13738","9623","0.7624091097856655","1"
"24","300","0.4","0.15","0.5","0.3","0.2","0.05","300","79033","13075","65958","0.8345627775739248","13075","9086","0.7514583504758937","1"
"9","300","0.4","0.05","0.5","0.3","0.2","0.05","300","81455","14585","66870","0.8209440795531275","14585","10246","0.7527221833129865","1"
"18","300","0.4","0.1","0.5","0.3","0.2","0.05","300","80133","13812","66321","0.827636554228595","13812","9635","0.746391028174974","1"
"11","300","0.4","0.1","0.5","0.3","0.2","0.05","300","80111","13898","66213","0.8265157094531338","13898","9653","0.7527010122864158","1"
"8","300","0.4","0.05","0.5","0.3","0.2","0.05","300","80952","14627","66325","0.8193126791184899","14627","10259","0.7328926783957738","1"
"2","300","0.4","0.05","0.5","0.3","0.2","0.05","300","81415","14555","66860","0.8212245900632562","14555","10187","0.7326389507069739","1"
"22","300","0.4","0.15","0.5","0.3","0.2","0.05","300","78489","13061","65428","0.8335945164290538","13061","9117","0.7474472740360434","1"
"7","300","0.4","0.05","0.5","0.3","0.2","0.05","300","81071","14563","66508","0.8203673323383207","14563","10286","0.7249055057500878","1"
"16","300","0.4","0.1","0.5","0.3","0.2","0.05","300","80272","13921","66351","0.8265771377317122","13921","9697","0.7411795003942857","1"
"12","300","0.4","0.1","0.5","0.3","0.2","0.05","300","80184","13869","66315","0.8270353187668362","13869","9672","0.7343469879578617","1"
