"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-06-05-ABM-F.nlogox"
"exp2e_sens_drift_speed"
"05/06/2026 16:08:01:909 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","punishment-severity","reporter-protection","learning-rate","baseline-recovery-rate","[step]","committed-misconduct-total","punished-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"6","300","0.4","0.3","0.5","0.3","0.2","0.03","300","71393","7788","63605","0.8909136750101551","7788","5489","0.8686085943377432","0.9988705643834133"
"4","300","0.4","0.3","0.5","0.3","0.2","0.03","300","70114","7767","62347","0.8892232649684799","7767","5431","0.8719216159628739","0.9983717339297336"
"5","300","0.4","0.3","0.5","0.3","0.2","0.03","300","72641","7983","64658","0.890103385140623","7983","5567","0.8601311652537385","0.9996624106728769"
"17","300","0.4","0.3","0.5","0.3","0.2","0.06","300","69382","11504","57878","0.8341933066213139","11504","7997","0.7653937298034518","0.9841108608717591"
"2","300","0.4","0.3","0.5","0.3","0.2","0.03","300","71103","7867","63236","0.889357692361785","7867","5446","0.8758318909897824","0.9989027926105488"
"24","300","0.4","0.3","0.5","0.3","0.2","0.09","300","59324","13561","45763","0.7714078619108624","13561","9499","0.6718744352572048","0.8040272494975788"
"19","300","0.4","0.3","0.5","0.3","0.2","0.06","300","68088","11490","56598","0.8312477969686288","11490","8033","0.7698818302772381","0.9770997914534864"
"23","300","0.4","0.3","0.5","0.3","0.2","0.09","300","58702","13458","45244","0.7707403495621955","13458","9485","0.6767138867818915","0.7957386242740555"
"8","300","0.4","0.3","0.5","0.3","0.2","0.03","300","71341","7842","63499","0.8900772346897297","7842","5456","0.869479598772457","0.9982639444602093"
"9","300","0.4","0.3","0.5","0.3","0.2","0.03","300","70878","7822","63056","0.8896413555687237","7822","5513","0.8701289161620243","0.9970685440344357"
"28","300","0.4","0.3","0.5","0.3","0.2","0.09","300","60268","13624","46644","0.7739430543572045","13624","9645","0.6846856212447034","0.8334717084321325"
"25","300","0.4","0.3","0.5","0.3","0.2","0.09","300","59763","13661","46102","0.7714137509830498","13661","9522","0.6677274849546653","0.8168907947534833"
"26","300","0.4","0.3","0.5","0.3","0.2","0.09","300","60211","13720","46491","0.7721346597797745","13720","9642","0.6900672672800574","0.8404636431396388"
"7","300","0.4","0.3","0.5","0.3","0.2","0.03","300","71776","7984","63792","0.888765046812305","7984","5484","0.8637351391036784","0.9994870338503379"
"14","300","0.4","0.3","0.5","0.3","0.2","0.06","300","67540","11342","56198","0.8320698845128812","11342","8011","0.7685710368030519","0.9762778641509711"
"18","300","0.4","0.3","0.5","0.3","0.2","0.06","300","67298","11372","55926","0.8310202383428928","11372","7929","0.7593646530175923","0.9686368251613753"
"30","300","0.4","0.3","0.5","0.3","0.2","0.09","300","59587","13703","45884","0.7700337321899072","13703","9539","0.6780226163867767","0.8264008976880077"
"13","300","0.4","0.3","0.5","0.3","0.2","0.06","300","68486","11414","57072","0.833338200508133","11414","7977","0.7650582481024689","0.9831535833025788"
"27","300","0.4","0.3","0.5","0.3","0.2","0.09","300","57009","13282","43727","0.7670192425757336","13282","9324","0.6556961156040855","0.7576569503565577"
"10","300","0.4","0.3","0.5","0.3","0.2","0.03","300","71001","7827","63174","0.8897621160265349","7827","5484","0.8730465270493732","0.9985499556247953"
"32","300","0.4","0.3","0.5","0.3","0.2","0.12","300","53338","14973","38365","0.7192808129288687","14973","10516","0.590431339130985","0.6503620830516732"
"1","300","0.4","0.3","0.5","0.3","0.2","0.03","300","70988","7855","63133","0.889347495351327","7855","5509","0.8649988476006748","0.9980574290836817"
"15","300","0.4","0.3","0.5","0.3","0.2","0.06","300","67901","11495","56406","0.8307094151779797","11495","7985","0.7827238501411855","0.9779469949842097"
"3","300","0.4","0.3","0.5","0.3","0.2","0.03","300","69506","7698","61808","0.8892469714844762","7698","5457","0.8684173612815118","0.9974871961709751"
"22","300","0.4","0.3","0.5","0.3","0.2","0.09","300","57655","13332","44323","0.7687624663949354","13332","9413","0.6572470547780344","0.7659162835084196"
"11","300","0.4","0.3","0.5","0.3","0.2","0.06","300","67007","11372","55635","0.8302863879893145","11372","7968","0.7681578763234617","0.9707977308600332"
"29","300","0.4","0.3","0.5","0.3","0.2","0.09","300","59112","13452","45660","0.772431993503857","13452","9530","0.6686120343826768","0.8122058425113711"
"31","300","0.4","0.3","0.5","0.3","0.2","0.12","300","51342","14707","36635","0.713548361964863","14707","10253","0.5786580287277161","0.6194280612159991"
"21","300","0.4","0.3","0.5","0.3","0.2","0.09","300","61005","13669","47336","0.7759363986558478","13669","9619","0.6823142121163096","0.8605227845966735"
"12","300","0.4","0.3","0.5","0.3","0.2","0.06","300","68157","11433","56724","0.8322549407984506","11433","8015","0.7598237181028229","0.9733412991224553"
"20","300","0.4","0.3","0.5","0.3","0.2","0.06","300","68411","11456","56955","0.8325415503354724","11456","8040","0.7670396114320616","0.9805459145480834"
"37","300","0.4","0.3","0.5","0.3","0.2","0.12","300","50733","14583","36150","0.7125539589616227","14583","10246","0.585107280435081","0.5927223311486628"
"36","300","0.4","0.3","0.5","0.3","0.2","0.12","300","51853","14728","37125","0.7159662893178794","14728","10327","0.5884819923828973","0.6236954472797513"
"35","300","0.4","0.3","0.5","0.3","0.2","0.12","300","52558","14944","37614","0.7156665017694738","14944","10455","0.5934448266380343","0.6202381007169191"
"16","300","0.4","0.3","0.5","0.3","0.2","0.06","300","68694","11437","57257","0.833508021078988","11437","8010","0.7661617122347478","0.9795786417898681"
"33","300","0.4","0.3","0.5","0.3","0.2","0.12","300","51638","14849","36789","0.7124404508307836","14849","10362","0.5992012071820967","0.623915106057772"
"34","300","0.4","0.3","0.5","0.3","0.2","0.12","300","51954","14797","37157","0.7151903607036995","14797","10299","0.6121618739330087","0.6232974295170471"
"39","300","0.4","0.3","0.5","0.3","0.2","0.12","300","52120","14870","37250","0.7146968534151957","14870","10397","0.5840434753902936","0.6189873341547669"
"41","300","0.4","0.3","0.5","0.3","0.2","0.15","300","47094","15449","31645","0.6719539644116024","15449","10785","0.540200659937023","0.5379464415557842"
"38","300","0.4","0.3","0.5","0.3","0.2","0.12","300","50898","14673","36225","0.711717552752564","14673","10235","0.5813577573002948","0.6036509070315628"
"40","300","0.4","0.3","0.5","0.3","0.2","0.12","300","51421","14674","36747","0.714630209447502","14674","10276","0.5841460115609283","0.600268265470027"
"42","300","0.4","0.3","0.5","0.3","0.2","0.15","300","47377","15595","31782","0.6708318382337422","15595","10941","0.5388993997988639","0.5359628242914675"
"43","300","0.4","0.3","0.5","0.3","0.2","0.15","300","47862","15700","32162","0.6719735907400443","15700","10974","0.5279349650054168","0.538877369418227"
"45","300","0.4","0.3","0.5","0.3","0.2","0.15","300","47691","15597","32094","0.6729571617286281","15597","10985","0.5330143231978789","0.532285832944988"
"44","300","0.4","0.3","0.5","0.3","0.2","0.15","300","47993","15570","32423","0.6755776884128936","15570","11009","0.535027669137182","0.5405130207707604"
"47","300","0.4","0.3","0.5","0.3","0.2","0.15","300","47625","15585","32040","0.672755905511811","15585","10968","0.5399924091136548","0.5417062524879026"
"52","300","0.4","0.3","0.5","0.3","0.2","0.18","300","45792","16577","29215","0.637993535988819","16577","11570","0.5013740994981026","0.5174628959075604"
"48","300","0.4","0.3","0.5","0.3","0.2","0.15","300","47429","15512","31917","0.6729427143730629","15512","10827","0.5335650046721679","0.5388067625849444"
"49","300","0.4","0.3","0.5","0.3","0.2","0.15","300","48126","15667","32459","0.6744587125462328","15667","10927","0.5308259699080499","0.5363654119812893"
"46","300","0.4","0.3","0.5","0.3","0.2","0.15","300","47855","15689","32166","0.6721554696478946","15689","10953","0.5335477610959921","0.5491306037206439"
"51","300","0.4","0.3","0.5","0.3","0.2","0.18","300","45414","16395","29019","0.63898797727573","16395","11457","0.5061118598543025","0.5115841741470144"
"56","300","0.4","0.3","0.5","0.3","0.2","0.18","300","45469","16447","29022","0.6382810266335306","16447","11564","0.4934762340080058","0.5043781066228128"
"57","300","0.4","0.3","0.5","0.3","0.2","0.18","300","45116","16409","28707","0.6362931110914088","16409","11489","0.5165867521988006","0.5182359680387082"
"58","300","0.4","0.3","0.5","0.3","0.2","0.18","300","45564","16482","29082","0.6382670529365289","16482","11505","0.4995624736151882","0.5135614461004185"
"50","300","0.4","0.3","0.5","0.3","0.2","0.15","300","48296","15842","32454","0.6719811164485672","15842","10983","0.5394606985573357","0.5548618350783503"
"60","300","0.4","0.3","0.5","0.3","0.2","0.18","300","46101","16621","29480","0.6394655213552851","16621","11637","0.5158432338795141","0.5183620034327011"
"53","300","0.4","0.3","0.5","0.3","0.2","0.18","300","45282","16438","28844","0.6369859988516409","16438","11423","0.49060532150101666","0.505068548271683"
"61","300","0.4","0.3","0.5","0.3","0.2","0.21","300","44428","17249","27179","0.6117538489241019","17249","11968","0.4857233185828082","0.4988760408743774"
"54","300","0.4","0.3","0.5","0.3","0.2","0.18","300","45714","16496","29218","0.6391477446734042","16496","11454","0.4942409863631851","0.5043035616897446"
"63","300","0.4","0.3","0.5","0.3","0.2","0.21","300","44197","16918","27279","0.6172138380433061","16918","11896","0.48124877148713313","0.49684256506200714"
"62","300","0.4","0.3","0.5","0.3","0.2","0.21","300","43610","16906","26704","0.612336620041275","16906","11941","0.48418038501538246","0.490527021856475"
"65","300","0.4","0.3","0.5","0.3","0.2","0.21","300","44217","16990","27227","0.6157586448650971","16990","11916","0.47813430023882425","0.49349127088636424"
"64","300","0.4","0.3","0.5","0.3","0.2","0.21","300","44136","17005","27131","0.6147136124705456","17005","11950","0.48042350708594145","0.4922223206079193"
"59","300","0.4","0.3","0.5","0.3","0.2","0.18","300","45257","16357","28900","0.6385752480279294","16357","11349","0.49896077426393465","0.5190510583165275"
"66","300","0.4","0.3","0.5","0.3","0.2","0.21","300","44484","17347","27137","0.6100395647873392","17347","12097","0.4802187590883654","0.4945986977191413"
